==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-77: [W=48, H=98, L=40]
Item-Item3D-78: [W=78, H=31, L=20]
Item-Item3D-79: [W=61, H=73, L=77]
Item-Item3D-80: [W=22, H=40, L=93]
Item-Item3D-81: [W=82, H=44, L=47]
Item-Item3D-82: [W=34, H=60, L=99]
Item-Item3D-83: [W=32, H=6, L=53]
Item-Item3D-84: [W=91, H=58, L=35]
Item-Item3D-85: [W=49, H=17, L=68]
Item-Item3D-86: [W=11, H=30, L=45]
Item-Item3D-87: [W=63, H=89, L=54]
Item-Item3D-88: [W=13, H=15, L=72]
Item-Item3D-89: [W=92, H=92, L=84]
Item-Item3D-90: [W=20, H=41, L=96]
Item-Item3D-91: [W=40, H=50, L=3]
Item-Item3D-92: [W=54, H=31, L=94]
Item-Item3D-93: [W=56, H=75, L=83]
Item-Item3D-94: [W=40, H=42, L=59]
Item-Item3D-95: [W=97, H=49, L=35]
Item-Item3D-96: [W=51, H=73, L=44]
Item-Item3D-97: [W=4, H=47, L=76]
Item-Item3D-98: [W=7, H=83, L=80]
Item-Item3D-99: [W=31, H=54, L=78]
Item-Item3D-100: [W=10, H=85, L=57]
Item-Item3D-101: [W=44, H=75, L=100]
Item-Item3D-102: [W=18, H=95, L=29]
Item-Item3D-103: [W=50, H=75, L=59]
Item-Item3D-104: [W=74, H=39, L=28]
Item-Item3D-105: [W=26, H=99, L=67]
Item-Item3D-106: [W=86, H=77, L=47]
Item-Item3D-107: [W=4, H=51, L=47]
Item-Item3D-108: [W=100, H=24, L=100]
Item-Item3D-109: [W=37, H=99, L=58]
Item-Item3D-110: [W=51, H=13, L=54]
Item-Item3D-111: [W=77, H=83, L=56]
Item-Item3D-112: [W=72, H=27, L=39]
Item-Item3D-113: [W=3, H=38, L=94]
Item-Item3D-114: [W=42, H=13, L=33]
Item-Item3D-115: [W=82, H=59, L=53]
Item-Item3D-116: [W=86, H=36, L=75]
Item-Item3D-117: [W=28, H=65, L=47]
Item-Item3D-118: [W=45, H=14, L=70]
Item-Item3D-119: [W=20, H=78, L=63]
Item-Item3D-120: [W=27, H=5, L=6]
Item-Item3D-121: [W=89, H=69, L=60]
Item-Item3D-122: [W=59, H=82, L=59]
Item-Item3D-123: [W=2, H=26, L=17]
Item-Item3D-124: [W=52, H=90, L=92]
Item-Item3D-125: [W=58, H=71, L=64]
Item-Item3D-126: [W=89, H=62, L=23]
Item-Item3D-127: [W=87, H=15, L=85]
Item-Item3D-128: [W=94, H=27, L=76]
Item-Item3D-129: [W=70, H=25, L=57]
Item-Item3D-130: [W=63, H=46, L=28]
Item-Item3D-131: [W=21, H=84, L=66]
Item-Item3D-132: [W=39, H=1, L=71]
Item-Item3D-133: [W=65, H=58, L=57]
Item-Item3D-134: [W=7, H=33, L=22]
Item-Item3D-135: [W=1, H=85, L=89]
Item-Item3D-136: [W=89, H=70, L=65]
Item-Item3D-137: [W=6, H=67, L=40]
Item-Item3D-138: [W=80, H=22, L=25]
Item-Item3D-139: [W=39, H=28, L=64]
Item-Item3D-140: [W=37, H=67, L=49]
Item-Item3D-141: [W=4, H=13, L=5]
Item-Item3D-142: [W=47, H=77, L=8]
Item-Item3D-143: [W=87, H=50, L=39]
Item-Item3D-144: [W=87, H=51, L=44]
Item-Item3D-145: [W=62, H=20, L=92]
Item-Item3D-146: [W=37, H=20, L=33]
Item-Item3D-147: [W=11, H=88, L=40]
Item-Item3D-148: [W=81, H=65, L=15]
Item-Item3D-149: [W=54, H=89, L=5]
Item-Item3D-150: [W=13, H=26, L=10]

Test 6 (Type 8, n=150)
Item-Item3D-1: [W=61, H=32, L=29]
Item-Item3D-2: [W=54, H=27, L=5]
Item-Item3D-3: [W=50, H=65, L=86]
Item-Item3D-4: [W=72, H=70, L=94]
Item-Item3D-5: [W=61, H=82, L=33]
Item-Item3D-6: [W=50, H=71, L=12]
Item-Item3D-7: [W=32, H=5, L=36]
Item-Item3D-8: [W=78, H=85, L=54]
Item-Item3D-9: [W=36, H=65, L=59]
Item-Item3D-10: [W=64, H=20, L=76]
Item-Item3D-11: [W=61, H=62, L=48]
Item-Item3D-12: [W=47, H=17, L=55]
Item-Item3D-13: [W=47, H=84, L=79]
Item-Item3D-14: [W=100, H=14, L=59]
Item-Item3D-15: [W=100, H=38, L=96]
Item-Item3D-16: [W=36, H=98, L=92]
Item-Item3D-17: [W=82, H=41, L=63]
Item-Item3D-18: [W=55, H=35, L=4]
Item-Item3D-19: [W=41, H=73, L=57]
Item-Item3D-20: [W=54, H=28, L=69]
Item-Item3D-21: [W=33, H=50, L=93]
Item-Item3D-22: [W=20, H=5, L=47]
Item-Item3D-23: [W=51, H=27, L=76]
Item-Item3D-24: [W=49, H=95, L=42]
Item-Item3D-25: [W=2, H=69, L=29]
Item-Item3D-26: [W=88, H=40, L=50]
Item-Item3D-27: [W=36, H=75, L=3]
Item-Item3D-28: [W=22, H=98, L=79]
Item-Item3D-29: [W=54, H=6, L=61]
Item-Item3D-30: [W=2, H=1, L=29]
Item-Item3D-31: [W=61, H=89, L=14]
Item-Item3D-32: [W=54, H=99, L=33]
Item-Item3D-33: [W=54, H=97, L=30]
Item-Item3D-34: [W=38, H=90, L=45]
Item-Item3D-35: [W=2, H=3, L=74]
Item-Item3D-36: [W=41, H=80, L=58]
Item-Item3D-37: [W=69, H=78, L=94]
Item-Item3D-38: [W=81, H=13, L=19]
Item-Item3D-39: [W=96, H=25, L=37]
Item-Item3D-40: [W=84, H=8, L=67]
Item-Item3D-41: [W=95, H=26, L=99]
Item-Item3D-42: [W=94, H=29, L=8]
Item-Item3D-43: [W=5, H=41, L=29]
Item-Item3D-44: [W=96, H=65, L=6]
Item-Item3D-45: [W=25, H=99, L=80]
Item-Item3D-46: [W=87, H=31, L=92]
Item-Item3D-47: [W=78, H=92, L=31]
Item-Item3D-48: [W=85, H=53, L=31]
Item-Item3D-49: [W=49, H=91, L=45]
Item-Item3D-50: [W=7, H=78, L=59]
Item-Item3D-51: [W=75, H=75, L=76]
Item-Item3D-52: [W=38, H=9, L=84]
Item-Item3D-53: [W=19, H=34, L=14]
Item-Item3D-54: [W=48, H=54, L=89]
Item-Item3D-55: [W=60, H=93, L=55]
Item-Item3D-56: [W=10, H=42, L=45]
Item-Item3D-57: [W=61, H=11, L=53]
Item-Item3D-58: [W=94, H=79, L=11]
Item-Item3D-59: [W=24, H=13, L=25]
Item-Item3D-60: [W=37, H=27, L=91]
Item-Item3D-61: [W=31, H=33, L=89]
Item-Item3D-62: [W=76, H=67, L=56]
Item-Item3D-63: [W=40, H=92, L=86]
Item-Item3D-64: [W=69, H=8, L=44]
Item-Item3D-65: [W=58, H=95, L=65]
Item-Item3D-66: [W=69, H=57, L=30]
Item-Item3D-67: [W=30, H=25, L=34]
Item-Item3D-68: [W=84, H=100, L=43]
Item-Item3D-69: [W=7, H=45, L=56]
Item-Item3D-70: [W=43, H=65, L=20]
Item-Item3D-71: [W=56, H=41, L=97]
Item-Item3D-72: [W=87, H=30, L=26]
Item-Item3D-73: [W=49, H=62, L=67]
Item-Item3D-74: [W=27, H=92, L=72]
Item-Item3D-75: [W=61, H=9, L=87]
Item-Item3D-76: [W=28, H=34, L=57]
Item-Item3D-77: [W=48, H=16, L=9]
Item-Item3D-78: [W=2, H=34, L=51]
Item-Item3D-79: [W=29, H=95, L=91]
Item-Item3D-80: [W=49, H=11, L=40]
Item-Item3D-81: [W=86, H=12, L=15]
Item-Item3D-82: [W=1, H=79, L=17]
Item-Item3D-83: [W=53, H=35, L=43]
Item-Item3D-84: [W=86, H=67, L=18]
Item-Item3D-85: [W=92, H=15, L=90]
Item-Item3D-86: [W=99, H=4, L=64]
Item-Item3D-87: [W=26, H=96, L=46]
Item-Item3D-88: [W=42, H=18, L=36]
Item-Item3D-89: [W=69, H=1, L=37]
Item-Item3D-90: [W=66, H=79, L=2]
Item-Item3D-91: [W=23, H=67, L=2]
Item-Item3D-92: [W=78, H=60, L=48]
Item-Item3D-93: [W=27, H=4, L=35]
Item-Item3D-94: [W=78, H=13, L=94]
Item-Item3D-95: [W=79, H=94, L=46]
Item-Item3D-96: [W=50, H=54, L=6]
Item-Item3D-97: [W=74, H=77, L=25]
Item-Item3D-98: [W=66, H=80, L=28]
Item-Item3D-99: [W=53, H=1, L=72]
Item-Item3D-100: [W=20, H=34, L=85]
Item-Item3D-101: [W=54, H=40, L=68]
Item-Item3D-102: [W=37, H=59, L=91]
Item-Item3D-103: [W=11, H=38, L=70]
Item-Item3D-104: [W=79, H=28, L=12]
Item-Item3D-105: [W=94, H=22, L=69]
Item-Item3D-106: [W=92, H=23, L=48]
Item-Item3D-107: [W=17, H=56, L=91]
Item-Item3D-108: [W=33, H=25, L=92]
Item-Item3D-109: [W=96, H=20, L=91]
Item-Item3D-110: [W=3, H=37, L=7]
Item-Item3D-111: [W=78, H=71, L=17]
Item-Item3D-112: [W=18, H=60, L=42]
Item-Item3D-113: [W=80, H=66, L=69]
Item-Item3D-114: [W=26, H=71, L=18]
Item-Item3D-115: [W=87, H=59, L=51]
Item-Item3D-116: [W=13, H=12, L=38]
Item-Item3D-117: [W=84, H=2, L=45]
Item-Item3D-118: [W=39, H=97, L=60]
Item-Item3D-119: [W=100, H=43, L=49]
Item-Item3D-120: [W=33, H=64, L=19]
Item-Item3D-121: [W=38, H=32, L=31]
Item-Item3D-122: [W=91, H=44, L=86]
Item-Item3D-123: [W=77, H=49, L=64]
Item-Item3D-124: [W=85, H=39, L=55]
Item-Item3D-125: [W=89, H=4, L=71]
Item-Item3D-126: [W=97, H=1, L=47]
Item-Item3D-127: [W=89, H=15, L=1]
Item-Item3D-128: [W=28, H=80, L=15]
Item-Item3D-129: [W=54, H=3, L=32]
Item-Item3D-130: [W=38, H=23, L=95]
Item-Item3D-131: [W=89, H=56, L=56]
Item-Item3D-132: [W=21, H=70, L=47]
Item-Item3D-133: [W=46, H=82, L=42]
Item-Item3D-134: [W=95, H=27, L=22]
Item-Item3D-135: [W=72, H=18, L=50]
Item-Item3D-136: [W=3, H=5, L=68]
Item-Item3D-137: [W=46, H=60, L=51]
Item-Item3D-138: [W=72, H=6, L=1]
Item-Item3D-139: [W=11, H=24, L=20]
Item-Item3D-140: [W=45, H=12, L=27]
Item-Item3D-141: [W=31, H=35, L=9]
Item-Item3D-142: [W=23, H=93, L=89]
Item-Item3D-143: [W=34, H=21, L=32]
Item-Item3D-144: [W=93, H=31, L=34]
Item-Item3D-145: [W=53, H=47, L=59]
Item-Item3D-146: [W=49, H=21, L=82]
Item-Item3D-147: [W=24, H=32, L=15]
Item-Item3D-148: [W=19, H=89, L=38]
Item-Item3D-149: [W=67, H=63, L=75]
Item-Item3D-150: [W=46, H=86, L=88]

Test 7 (Type 8, n=150)
Item-Item3D-1: [W=80, H=94, L=73]
Item-Item3D-2: [W=30, H=92, L=95]
Item-Item3D-3: [W=36, H=49, L=32]
Item-Item3D-4: [W=85, H=14, L=61]
Item-Item3D-5: [W=61, H=59, L=29]
Item-Item3D-6: [W=10, H=77, L=32]
Item-Item3D-7: [W=57, H=57, L=34]
Item-Item3D-8: [W=85, H=56, L=60]
Item-Item3D-9: [W=12, H=80, L=58]
Item-Item3D-10: [W=92, H=47, L=12]
Item-Item3D-11: [W=18, H=69, L=64]
Item-Item3D-12: [W=75, H=7, L=67]
Item-Item3D-13: [W=74, H=15, L=83]
Item-Item3D-14: [W=7, H=72, L=11]
Item-Item3D-15: [W=84, H=84, L=49]
Item-Item3D-16: [W=24, H=45, L=86]
Item-Item3D-17: [W=57, H=32, L=16]
Item-Item3D-18: [W=28, H=34, L=54]
Item-Item3D-19: [W=25, H=58, L=18]
Item-Item3D-20: [W=16, H=3, L=49]
Item-Item3D-21: [W=8, H=7, L=80]
Item-Item3D-22: [W=14, H=24, L=45]
Item-Item3D-23: [W=79, H=77, L=19]
Item-Item3D-24: [W=55, H=78, L=52]
Item-Item3D-25: [W=87, H=76, L=36]
Item-Item3D-26: [W=45, H=53, L=30]
Item-Item3D-27: [W=3, H=97, L=37]
Item-Item3D-28: [W=7, H=29, L=41]
Item-Item3D-29: [W=13, H=55, L=4]
Item-Item3D-30: [W=85, H=31, L=64]
Item-Item3D-31: [W=22, H=66, L=69]
Item-Item3D-32: [W=90, H=23, L=76]
Item-Item3D-33: [W=45, H=62, L=88]
Item-Item3D-34: [W=33, H=89, L=15]
Item-Item3D-35: [W=94, H=34, L=48]
Item-Item3D-36: [W=57, H=18, L=10]
Item-Item3D-37: [W=7, H=72, L=33]
Item-Item3D-38: [W=54, H=3, L=15]
Item-Item3D-39: [W=91, H=94, L=15]
Item-Item3D-40: [W=27, H=46, L=29]
Item-Item3D-41: [W=83, H=17, L=84]
Item-Item3D-42: [W=78, H=78, L=55]
Item-Item3D-43: [W=13, H=79, L=18]
Item-Item3D-44: [W=21, H=91, L=76]
Item-Item3D-45: [W=93, H=16, L=53]
Item-Item3D-46: [W=91, H=12, L=67]
Item-Item3D-47: [W=95, H=50, L=53]
Item-Item3D-48: [W=34, H=100, L=26]
Item-Item3D-49: [W=77, H=5, L=97]
Item-Item3D-50: [W=73, H=98, L=79]
Item-Item3D-51: [W=94, H=50, L=90]
Item-Item3D-52: [W=3, H=8, L=73]
Item-Item3D-53: [W=70, H=79, L=77]
Item-Item3D-54: [W=43, H=50, L=71]
Item-Item3D-55: [W=79, H=1, L=74]
Item-Item3D-56: [W=93, H=72, L=5]
Item-Item3D-57: [W=50, H=45, L=17]
Item-Item3D-58: [W=40, H=81, L=48]
Item-Item3D-59: [W=31, H=42, L=99]
Item-Item3D-60: [W=27, H=48, L=43]
Item-Item3D-61: [W=37, H=22, L=14]
Item-Item3D-62: [W=65, H=65, L=65]
Item-Item3D-63: [W=40, H=50, L=55]
Item-Item3D-64: [W=20, H=20, L=85]
Item-Item3D-65: [W=94, H=75, L=8]
Item-Item3D-66: [W=24, H=63, L=27]
Item-Item3D-67: [W=41, H=77, L=31]
Item-Item3D-68: [W=62, H=31, L=16]
Item-Item3D-69: [W=52, H=50, L=46]
Item-Item3D-70: [W=35, H=63, L=27]
Item-Item3D-71: [W=92, H=72, L=31]
Item-Item3D-72: [W=1, H=78, L=21]
Item-Item3D-73: [W=26, H=65, L=56]
Item-Item3D-74: [W=25, H=46, L=46]
Item-Item3D-75: [W=89, H=86, L=66]
Item-Item3D-76: [W=47, H=95, L=86]
Item-Item3D-77: [W=98, H=80, L=26]
Item-Item3D-78: [W=51, H=34, L=27]
Item-Item3D-79: [W=31, H=72, L=22]
Item-Item3D-80: [W=16, H=57, L=20]
Item-Item3D-81: [W=51, H=32, L=3]
Item-Item3D-82: [W=20, H=54, L=53]
Item-Item3D-83: [W=42, H=10, L=23]
Item-Item3D-84: [W=37, H=4, L=65]
Item-Item3D-85: [W=73, H=25, L=79]
Item-Item3D-86: [W=37, H=72, L=25]
Item-Item3D-87: [W=83, H=12, L=89]
Item-Item3D-88: [W=10, H=98, L=87]
Item-Item3D-89: [W=36, H=39, L=63]
Item-Item3D-90: [W=70, H=7, L=63]
Item-Item3D-91: [W=60, H=17, L=12]
Item-Item3D-92: [W=98, H=69, L=65]
Item-Item3D-93: [W=61, H=86, L=4]
Item-Item3D-94: [W=45, H=2, L=64]
Item-Item3D-95: [W=1, H=80, L=63]
Item-Item3D-96: [W=20, H=41, L=39]
Item-Item3D-97: [W=29, H=40, L=20]
Item-Item3D-98: [W=53, H=52, L=79]
Item-Item3D-99: [W=17, H=9, L=45]
Item-Item3D-100: [W=40, H=5, L=37]
Item-Item3D-101: [W=16, H=71, L=9]
Item-Item3D-102: [W=31, H=87, L=69]
Item-Item3D-103: [W=19, H=75, L=57]
Item-Item3D-104: [W=60, H=17, L=60]
Item-Item3D-105: [W=57, H=76, L=47]
Item-Item3D-106: [W=22, H=50, L=97]
Item-Item3D-107: [W=16, H=25, L=76]
Item-Item3D-108: [W=37, H=23, L=13]
Item-Item3D-109: [W=40, H=19, L=57]
Item-Item3D-110: [W=69, H=82, L=45]
Item-Item3D-111: [W=4, H=57, L=29]
Item-Item3D-112: [W=29, H=60, L=36]
Item-Item3D-113: [W=73, H=93, L=55]
Item-Item3D-114: [W=2, H=46, L=46]
Item-Item3D-115: [W=21, H=81, L=41]
Item-Item3D-116: [W=3, H=60, L=57]
Item-Item3D-117: [W=56, H=77, L=76]
Item-Item3D-118: [W=10, H=68, L=91]
Item-Item3D-119: [W=76, H=21, L=69]
Item-Item3D-120: [W=86, H=81, L=35]
Item-Item3D-121: [W=95, H=23, L=75]
Item-Item3D-122: [W=93, H=73, L=32]
Item-Item3D-123: [W=88, H=35, L=18]
Item-Item3D-124: [W=7, H=28, L=25]
Item-Item3D-125: [W=48, H=42, L=19]
Item-Item3D-126: [W=83, H=88, L=7]
Item-Item3D-127: [W=74, H=47, L=12]
Item-Item3D-128: [W=66, H=21, L=29]
Item-Item3D-129: [W=89, H=61, L=40]
Item-Item3D-130: [W=36, H=17, L=76]
Item-Item3D-131: [W=74, H=46, L=26]
Item-Item3D-132: [W=32, H=5, L=56]
Item-Item3D-133: [W=34, H=41, L=29]
Item-Item3D-134: [W=85, H=9, L=14]
Item-Item3D-135: [W=88, H=2, L=21]
Item-Item3D-136: [W=95, H=31, L=76]
Item-Item3D-137: [W=56, H=15, L=42]
Item-Item3D-138: [W=1, H=79, L=50]
Item-Item3D-139: [W=15, H=91, L=40]
Item-Item3D-140: [W=19, H=68, L=5]
Item-Item3D-141: [W=35, H=32, L=19]
Item-Item3D-142: [W=88, H=24, L=27]
Item-Item3D-143: [W=3, H=82, L=74]
Item-Item3D-144: [W=15, H=21, L=87]
Item-Item3D-145: [W=30, H=81, L=62]
Item-Item3D-146: [W=54, H=57, L=82]
Item-Item3D-147: [W=67, H=80, L=100]
Item-Item3D-148: [W=56, H=90, L=18]
Item-Item3D-149: [W=4, H=19, L=41]
Item-Item3D-150: [W=15, H=44, L=80]

Test 8 (Type 8, n=150)
Item-Item3D-1: [W=13, H=53, L=77]
Item-Item3D-2: [W=4, H=9, L=84]
Item-Item3D-3: [W=93, H=8, L=63]
Item-Item3D-4: [W=79, H=84, L=66]
Item-Item3D-5: [W=93, H=70, L=43]
Item-Item3D-6: [W=98, H=89, L=32]
Item-Item3D-7: [W=79, H=48, L=55]
Item-Item3D-8: [W=45, H=17, L=12]
Item-Item3D-9: [W=33, H=4, L=55]
Item-Item3D-10: [W=2, H=73, L=47]
Item-Item3D-11: [W=78, H=42, L=64]
Item-Item3D-12: [W=99, H=5, L=13]
Item-Item3D-13: [W=24, H=69, L=26]
Item-Item3D-14: [W=73, H=62, L=77]
Item-Item3D-15: [W=46, H=18, L=80]
Item-Item3D-16: [W=53, H=63, L=23]
Item-Item3D-17: [W=43, H=58, L=8]
Item-Item3D-18: [W=84, H=56, L=74]
Item-Item3D-19: [W=55, H=85, L=19]
Item-Item3D-20: [W=61, H=57, L=51]
Item-Item3D-21: [W=81, H=54, L=78]
Item-Item3D-22: [W=99, H=85, L=58]
Item-Item3D-23: [W=20, H=93, L=79]
Item-Item3D-24: [W=84, H=4, L=39]
Item-Item3D-25: [W=63, H=82, L=44]
Item-Item3D-26: [W=28, H=59, L=20]
Item-Item3D-27: [W=62, H=20, L=35]
Item-Item3D-28: [W=38, H=55, L=35]
Item-Item3D-29: [W=87, H=37, L=28]
Item-Item3D-30: [W=60, H=56, L=70]
Item-Item3D-31: [W=13, H=51, L=77]
Item-Item3D-32: [W=29, H=78, L=65]
Item-Item3D-33: [W=30, H=60, L=62]
Item-Item3D-34: [W=22, H=54, L=19]
Item-Item3D-35: [W=80, H=74, L=41]
Item-Item3D-36: [W=76, H=43, L=77]
Item-Item3D-37: [W=72, H=88, L=8]
Item-Item3D-38: [W=88, H=25, L=62]
Item-Item3D-39: [W=45, H=59, L=47]
Item-Item3D-40: [W=3, H=19, L=76]
Item-Item3D-41: [W=20, H=87, L=14]
Item-Item3D-42: [W=68, H=53, L=75]
Item-Item3D-43: [W=48, H=72, L=1]
Item-Item3D-44: [W=24, H=45, L=70]
Item-Item3D-45: [W=94, H=96, L=73]
Item-Item3D-46: [W=84, H=36, L=43]
Item-Item3D-47: [W=37, H=16, L=11]
Item-Item3D-48: [W=3, H=19, L=91]
Item-Item3D-49: [W=33, H=74, L=90]
Item-Item3D-50: [W=50, H=32, L=4]
Item-Item3D-51: [W=54, H=22, L=44]
Item-Item3D-52: [W=75, H=75, L=23]
Item-Item3D-53: [W=72, H=93, L=74]
Item-Item3D-54: [W=30, H=11, L=97]
Item-Item3D-55: [W=55, H=89, L=83]
Item-Item3D-56: [W=17, H=63, L=35]
Item-Item3D-57: [W=96, H=38, L=11]
Item-Item3D-58: [W=57, H=35, L=48]
Item-Item3D-59: [W=45, H=40, L=26]
Item-Item3D-60: [W=67, H=57, L=15]
Item-Item3D-61: [W=66, H=57, L=56]
Item-Item3D-62: [W=16, H=30, L=58]
Item-Item3D-63: [W=74, H=60, L=74]
Item-Item3D-64: [W=91, H=100, L=34]
Item-Item3D-65: [W=35, H=93, L=75]
Item-Item3D-66: [W=7, H=60, L=88]
Item-Item3D-67: [W=22, H=21, L=16]
Item-Item3D-68: [W=70, H=75, L=89]
Item-Item3D-69: [W=73, H=7, L=26]
Item-Item3D-70: [W=44, H=95, L=75]
Item-Item3D-71: [W=59, H=10, L=80]
Item-Item3D-72: [W=67, H=61, L=75]
Item-Item3D-73: [W=15, H=67, L=13]
Item-Item3D-74: [W=48, H=76, L=54]
Item-Item3D-75: [W=83, H=23, L=93]
Item-Item3D-76: [W=39, H=24, L=76]
Item-Item3D-77: [W=45, H=1, L=30]
Item-Item3D-78: [W=76, H=95, L=80]
Item-Item3D-79: [W=95, H=25, L=74]
Item-Item3D-80: [W=20, H=3, L=24]
Item-Item3D-81: [W=65, H=24, L=89]
Item-Item3D-82: [W=76, H=6, L=18]
Item-Item3D-83: [W=33, H=19, L=100]
Item-Item3D-84: [W=47, H=37, L=31]
Item-Item3D-85: [W=90, H=45, L=52]
Item-Item3D-86: [W=66, H=8, L=80]
Item-Item3D-87: [W=83, H=35, L=36]
Item-Item3D-88: [W=27, H=47, L=71]
Item-Item3D-89: [W=2, H=78, L=55]
Item-Item3D-90: [W=98, H=97, L=15]
Item-Item3D-91: [W=67, H=71, L=91]
Item-Item3D-92: [W=8, H=67, L=97]
Item-Item3D-93: [W=60, H=33, L=10]
Item-Item3D-94: [W=44, H=34, L=59]
Item-Item3D-95: [W=87, H=100, L=49]
Item-Item3D-96: [W=17, H=96, L=47]
Item-Item3D-97: [W=21, H=5, L=60]
Item-Item3D-98: [W=70, H=74, L=58]
Item-Item3D-99: [W=61, H=3, L=56]
Item-Item3D-100: [W=59, H=83, L=99]
Item-Item3D-101: [W=56, H=81, L=59]
Item-Item3D-102: [W=31, H=15, L=80]
Item-Item3D-103: [W=12, H=67, L=6]
Item-Item3D-104: [W=66, H=14, L=49]
Item-Item3D-105: [W=84, H=78, L=46]
Item-Item3D-106: [W=61, H=96, L=23]
Item-Item3D-107: [W=67, H=22, L=74]
Item-Item3D-108: [W=41, H=23, L=17]
Item-Item3D-109: [W=9, H=78, L=99]
Item-Item3D-110: [W=6, H=52, L=79]
Item-Item3D-111: [W=75, H=18, L=88]
Item-Item3D-112: [W=2, H=61, L=80]
Item-Item3D-113: [W=40, H=62, L=55]
Item-Item3D-114: [W=24, H=76, L=59]
Item-Item3D-115: [W=4, H=7, L=99]
Item-Item3D-116: [W=8, H=37, L=10]
Item-Item3D-117: [W=72, H=60, L=91]
Item-Item3D-118: [W=78, H=42, L=92]
Item-Item3D-119: [W=89, H=45, L=89]
Item-Item3D-120: [W=79, H=1, L=69]
Item-Item3D-121: [W=62, H=22, L=17]
Item-Item3D-122: [W=60, H=61, L=84]
Item-Item3D-123: [W=96, H=37, L=26]
Item-Item3D-124: [W=42, H=12, L=94]
Item-Item3D-125: [W=41, H=52, L=4]
Item-Item3D-126: [W=50, H=62, L=87]
Item-Item3D-127: [W=69, H=86, L=90]
Item-Item3D-128: [W=67, H=68, L=92]
Item-Item3D-129: [W=83, H=88, L=14]
Item-Item3D-130: [W=61, H=57, L=77]
Item-Item3D-131: [W=27, H=45, L=33]
Item-Item3D-132: [W=43, H=89, L=58]
Item-Item3D-133: [W=28, H=73, L=20]
Item-Item3D-134: [W=64, H=70, L=55]
Item-Item3D-135: [W=21, H=60, L=72]
Item-Item3D-136: [W=29, H=52, L=45]
Item-Item3D-137: [W=61, H=9, L=60]
Item-Item3D-138: [W=97, H=15, L=67]
Item-Item3D-139: [W=16, H=81, L=23]
Item-Item3D-140: [W=26, H=53, L=100]
Item-Item3D-141: [W=62, H=37, L=62]
Item-Item3D-142: [W=97, H=18, L=96]
Item-Item3D-143: [W=70, H=11, L=94]
Item-Item3D-144: [W=51, H=43, L=72]
Item-Item3D-145: [W=16, H=92, L=56]
Item-Item3D-146: [W=48, H=28, L=100]
Item-Item3D-147: [W=15, H=7, L=73]
Item-Item3D-148: [W=75, H=80, L=36]
Item-Item3D-149: [W=86, H=68, L=65]
Item-Item3D-150: [W=3, H=84, L=85]

Test 9 (Type 8, n=150)
Item-Item3D-1: [W=16, H=37, L=28]
Item-Item3D-2: [W=51, H=33, L=87]
Item-Item3D-3: [W=27, H=13, L=89]
Item-Item3D-4: [W=44, H=39, L=23]
Item-Item3D-5: [W=64, H=81, L=76]
Item-Item3D-6: [W=89, H=60, L=80]
Item-Item3D-7: [W=73, H=30, L=40]
Item-Item3D-8: [W=49, H=25, L=32]
Item-Item3D-9: [W=71, H=53, L=44]
Item-Item3D-10: [W=33, H=46, L=36]
Item-Item3D-11: [W=37, H=33, L=80]
Item-Item3D-12: [W=66, H=41, L=90]
Item-Item3D-13: [W=58, H=49, L=68]
Item-Item3D-14: [W=16, H=97, L=74]
Item-Item3D-15: [W=22, H=23, L=65]
Item-Item3D-16: [W=31, H=27, L=45]
Item-Item3D-17: [W=14, H=95, L=27]
Item-Item3D-18: [W=78, H=38, L=12]
Item-Item3D-19: [W=98, H=23, L=48]
Item-Item3D-20: [W=62, H=30, L=65]
Item-Item3D-21: [W=58, H=4, L=32]
Item-Item3D-22: [W=18, H=100, L=34]
Item-Item3D-23: [W=83, H=9, L=60]
Item-Item3D-24: [W=53, H=17, L=3]
Item-Item3D-25: [W=83, H=60, L=31]
Item-Item3D-26: [W=90, H=44, L=39]
Item-Item3D-27: [W=3, H=79, L=59]
Item-Item3D-28: [W=37, H=74, L=12]
Item-Item3D-29: [W=82, H=62, L=47]
Item-Item3D-30: [W=80, H=20, L=45]
Item-Item3D-31: [W=63, H=76, L=28]
Item-Item3D-32: [W=24, H=55, L=16]
Item-Item3D-33: [W=29, H=24, L=66]
Item-Item3D-34: [W=53, H=60, L=54]
Item-Item3D-35: [W=42, H=71, L=90]
Item-Item3D-36: [W=97, H=94, L=53]
Item-Item3D-37: [W=67, H=35, L=67]
Item-Item3D-38: [W=60, H=92, L=97]
Item-Item3D-39: [W=71, H=79, L=48]
Item-Item3D-40: [W=18, H=8, L=4]
Item-Item3D-41: [W=30, H=62, L=4]
Item-Item3D-42: [W=32, H=41, L=56]
Item-Item3D-43: [W=8, H=65, L=7]
Item-Item3D-44: [W=34, H=50, L=97]
Item-Item3D-45: [W=56, H=70, L=55]
Item-Item3D-46: [W=12, H=12, L=59]
Item-Item3D-47: [W=62, H=28, L=42]
Item-Item3D-48: [W=77, H=26, L=59]
Item-Item3D-49: [W=50, H=90, L=83]
Item-Item3D-50: [W=31, H=64, L=86]
Item-Item3D-51: [W=85, H=42, L=84]
Item-Item3D-52: [W=33, H=44, L=15]
Item-Item3D-53: [W=41, H=12, L=85]
